Comment,Actual_Sentiment,Cleaned_Comment
Sir Vivo x200 ultra India Mai lauch hoga kya 🤔,neutral,sir vivo ultra india mai lauch hoga kya
"After 5 years of this song 
 I still hear it daily ❤",positive,year song still hear daily
phook de budhee ko mai aata hun 😂😂😂😂,positive,phook budhee mai aata hun 😂😂😂😂
we are proud of you !!!,positive,proud
কাটুন অনেক সুন্দর ❤💓💞💕💝💖💗,positive,কাটুন অনেক সুন্দর ❤💓💞💕💝💖💗
Always legendary song 🥺🥺🙂,positive,always legendary song 🥺🥺🙂
সুন্দর কাটুন ❤❤❤❤❤❤,positive,সুন্দর কাটুন ❤❤❤❤❤❤
"Who is watching in 2025?🤠🤠
 
 Remembering old days❤",positive,watching remembering old days❤
Taku emiti maro nai thadpai thadpai maro jhamiti kei bi emiti kam no karbo didi ku jhemti maro tharo lingo kati dio,neutral,taku emiti maro nai thadpai thadpai maro jhamiti kei emiti kam karbo didi jhemti maro tharo lingo kati dio
যতই খুন হোক সেই t m c ই জিতবে আমাদের লাজ্যা নেইতো,neutral,যতই খুন হোক সেই জিতবে আমাদের লাজ্যা নেইতো
Life was good when we used to get angry masterji on teachers day,neutral,life good used get angry masterji teacher day
Idhu ondhu doop news ! MGR - Sorry kelirodhu sullu !,neutral,idhu ondhu doop news mgr sorry kelirodhu sullu
ಮತ್ತು ಕಪಿಲ್ ಸಿಬಿಲ್ ಮುಖ್ಯ ನ್ಯಾಯವಾದಿ ಎಂದು ಹೇಳಿದ್ದು ಯಾರು ನಿಮಗೆ..,neutral,ಮತ್ತು ಕಪಿಲ್ ಸಿಬಿಲ್ ಮುಖ್ಯ ನ್ಯಾಯವಾದಿ ಎಂದು ಹೇಳಿದ್ದು ಯಾರು ನಿಮಗೆ
ബ്രേക്കിനു പകരം ആക്‌സിലറേറ്റർ ചവിട്ടിപോയോ....,neutral,ബ്രേക്കിനു പകരം ആക്‌സിലറേറ്റർ ചവിട്ടിപോയോ
Are sir phone to bata dete 😂,positive,sir phone bata dete
Anarc ka asli sach,neutral,anarc asli sach
Sip🎉,positive,sip🎉
Iove from pakistani🇵🇰,neutral,iove pakistani🇵🇰
Nin helodella nija ankonde estu nina higu untenA channel tharA nivu vee,neutral,nin helodella nija ankonde estu nina higu untena channel thara nivu vee
ល្អមើលណាស់,neutral,ល្អមើលណាស់
🙏🙏.,neutral,
ಸರ್ ಗಲ್ಲು ಶಿಕ್ಷೆ ಆಗಬೇಕು,neutral,ಸರ್ ಗಲ್ಲು ಶಿಕ್ಷೆ ಆಗಬೇಕು
ତୁ ରାଣ୍ଡି ହଟେଲରେ କାମ କର ତତେ ଆମେ ବୁଲିଙ୍ଗ୍ କରିବୁ |,neutral,ରାଣ୍ଡି ହଟେଲରେ କାମ ତତେ ଆମେ ବୁଲିଙ୍ଗ୍ କରିବୁ
Outstanding story😋🥰🥰💞💞,positive,outstanding story😋🥰🥰💞💞
Ku nhi karta Bangladesh mein kya kiya india ne 1971 mein,neutral,nhi karta bangladesh mein kya kiya india mein
Sidi baat.. no bakwas! No nautanki .. Loved ur review.,negative,sidi baat bakwas nautanki loved review
Nice phone 🤳🏼🎉🎉,positive,nice phone 🤳🏼🎉🎉
Hare Krishna ❤,positive,hare krishna
Micha kahouchu,neutral,micha kahouchu
Sthalam mattal oru punishment aano?,negative,sthalam mattal oru punishment aano
Tate sabu gandi marile naa,neutral,tate sabu gandi marile naa
உங்க கிட்ட பிடிச்சதே உங்கள் சுத்தம் தான் தான் அண்ணா ❤❤❤,positive,உங்க கிட்ட பிடிச்சதே உங்கள் சுத்தம் தான் தான் அண்ணா ❤❤❤
"I,m student",neutral,student
Who's watching in 2025,neutral,who watching
😊😊😊❤❤❤,positive,😊😊😊❤❤❤
Jai Sai Ram👏,neutral,jai sai ram👏
जय हरी विठ्ठल 🙏🙏🙏,neutral,हरी विठ्ठल 🙏🙏🙏
Chor vaipo,neutral,chor vaipo
It is proved they are multi-talented and always energetic ❤,positive,proved multitalented always energetic
This farak word make many views 😂😂😂😮,positive,farak word make many view 😂😂😂😮
അറീയാളെ മന്ത്രിയാക്കി??????,neutral,അറീയാളെ മന്ത്രിയാക്കി
Jai shree ram 🙏🌷🏵️,neutral,jai shree ram 🙏🌷🏵️
"Oh please, is gaane pe video mat hi banao, Aapko, aur gaana nehi aata yeh to koi bhi biswas nehi karega😛😍😍",positive,please gaane video mat banao aapko aur gaana nehi aata yeh koi bhi biswas nehi karega😛😍😍
What about poco f7,neutral,poco
Jai Tamil.,neutral,jai tamil
സത്യം,neutral,സത്യം
Avalde chodhyam kando vellam veettil kayaritum athu kanditum endha sahajarym ennu,neutral,avalde chodhyam kando vellam veettil kayaritum athu kanditum endha sahajarym ennu
"അമേരിക്ക ലിബിയ, ടുണീഷ്യ, അൾജീരിയ, സിറിയ, ബംഗ്ലാദേശ് എന്നിവടങ്ങളിലെല്ലാം ഭീകരരെ സൃഷ്ടിച്ച് ഭരണത്തിൽ ഇരുത്തി ആരാജ്യങ്ങളെല്ലാം അമേരിക്ക പിടിച്ചെടുത്തു.ഇനി ഇറാനും ശേഷംഇന്ത്യയും പിടിച്ചെടുക്കാനാണ് നീക്കം",neutral,അമേരിക്ക ലിബിയ ടുണീഷ്യ അൾജീരിയ സിറിയ ബംഗ്ലാദേശ് എന്നിവടങ്ങളിലെല്ലാം ഭീകരരെ സൃഷ്ടിച്ച് ഭരണത്തിൽ ഇരുത്തി ആരാജ്യങ്ങളെല്ലാം അമേരിക്ക പിടിച്ചെടുത്തുഇനി ഇറാനും ശേഷംഇന്ത്യയും പിടിച്ചെടുക്കാനാണ് നീക്കം
Mayna Vivo t4x purchase kar liya 😅,positive,mayna vivo purchase kar liya
50 हजार mobiles पर लगाने से अच्छा तो यहि है एक लेपटोप ही खरीद लिया जाए इसमें भी 12 512 gb मिल जाएगा और मोबाईल से बेहतर game खेलने में मजा आएगा,neutral,हजार mobile लगाने अच्छा यहि लेपटोप खरीद लिया जाए इसमें मिल जाएगा मोबाईल बेहतर game खेलने में मजा आएगा
ଓଡିଶାରେ କେତେ ଲୋକଙ୍କ ଉପରେ ଅକଥନୀୟ ଅତ୍ୟାଚାର ହୋଇଛି ତିବ୍ବତୀୟ ସାଧୁ ଖବର ରଖିଛନ୍ତି ?,neutral,ଓଡିଶାରେ କେତେ ଲୋକଙ୍କ ଉପରେ ଅକଥନୀୟ ଅତ୍ୟାଚାର ହୋଇଛି ତିବ୍ବତୀୟ ସାଧୁ ଖବର ରଖିଛନ୍ତି
Par samne jab tum ate ho 🙈🙈🙈❤❤❤,positive,par samne jab tum ate 🙈🙈🙈❤❤❤
এই বস্তু টা মরেনা কেন?????,neutral,বস্তু মরেনা কেন
"Mygrandfatherlovedfuddi naam ki koii website hai e naii😢😢
 
 Jhooth bola sameer",negative,mygrandfatherlovedfuddi naam koii website hai naii😢😢 jhooth bola sameer
Kya isme 2face lock laga skte hain please reply...?,neutral,kya isme face lock laga skte hain please reply
Jai CS and jai MR,neutral,jai jai
Very correct 💯👍🏿👍🏿,neutral,correct 💯👍🏿👍🏿
I am ARMY BTS ARMY এখানে তো bts লেখা ❤❤❤❤❤❤,positive,army bts army এখানে bts লেখা ❤❤❤❤❤❤
Feminists have spoiled the society and the world,neutral,feminist spoiled society world
Bihar= msd born place,neutral,bihar msd born place
Haaye meri jaan 🥰🥰❤️❤️,positive,haaye meri jaan 🥰🥰❤️❤️
For me this type of videos are more better than his funny videos ❤🙏.. Just an Opinion..,positive,type video better funny video opinion
Bc ya doghi dokyat jatat ya doghi overacting kartat jam doka firto ya doghin var 😡🤬 tumcha doghin peksha 100 patin bhari kartat te dattu bane 💯,negative,doghi dokyat jatat doghi overacting kartat jam doka firto doghin var tumcha doghin peksha patin bhari kartat dattu bane
"മികച്ച തീരുമാനം....❤❤❤
 അൻവറെ ഏത് മുന്നണി എടുത്താലും ആ മുന്നണി നാറും. കഴിയ്ക്കുന്ന പാത്രത്തിൽ വിസർജ്ജനം നടത്തുന്ന വൃത്തികെട്ട ജന്തു ആണയാൾ..... "" 
 തൂറിയോനെ ചൊമന്നാൽ ചൊമന്നോനെ നാറും.....""
 UDF അത്രയും ഓർത്താൽ
 അവർക്ക് നന്ന് .....😊😊😊👍👍👍👍👍👍👍👍👍👍",positive,മികച്ച തീരുമാനം❤❤❤ അൻവറെ ഏത് മുന്നണി എടുത്താലും മുന്നണി നാറും കഴിയ്ക്കുന്ന പാത്രത്തിൽ വിസർജ്ജനം നടത്തുന്ന വൃത്തികെട്ട ജന്തു ആണയാൾ തൂറിയോനെ ചൊമന്നാൽ ചൊമന്നോനെ നാറും udf അത്രയും ഓർത്താൽ അവർക്ക് നന്ന് 😊😊😊👍👍👍👍👍👍👍👍👍👍
Mai aa rahi hu mumbai 2 saal baad. 😭👍🏻,negative,mai rahi mumbai saal baad 😭👍🏻
illuminati gang,neutral,illuminati gang
😢😅😅😅😅😅,positive,😢😅😅😅😅😅
Gfgy to see you 😄🎉🎉🎉🎉,positive,gfgy see 😄🎉🎉🎉🎉
Too much of a carb based diet. Preferred if they had made some thuvayal with it rather than potatoes. Thuvayal is a healthier option. Also the best coconut rice I have tasted is the one boiled in coconut milk rather than just adding coconut grating at the end.,positive,much carb based diet preferred made thuvayal rather potato thuvayal healthier option also best coconut rice tasted one boiled coconut milk rather adding coconut grating end
আপু কার্টুনটা খুবই চমৎকার,neutral,আপু কার্টুনটা খুবই চমৎকার
Sir office bagge video maadi sir,neutral,sir office bagge video maadi sir
सई ने आज दाखवलं शेवटी 😄,positive,दाखवलं शेवटी
ଓରିୟା nahi ଓଡ଼ିଆ | 😊❤,positive,ଓରିୟା nahi ଓଡ଼ିଆ
atok ade hack,neutral,atok ade hack
🇮🇳🇮🇳🇮🇳 Jay Hind 🪖🪖🪖 Jay Bharat 🪔🪔🪔 Jay shree Ram 🙏🙏🙏 Jay Jagannath 🚩🚩🚩,neutral,🇮🇳🇮🇳🇮🇳 jay hind 🪖🪖🪖 jay bharat 🪔🪔🪔 jay shree ram 🙏🙏🙏 jay jagannath 🚩🚩🚩
2:10 😂😂😂,positive,😂😂😂
अतिशय सुंदर,neutral,अतिशय सुंदर
Bada Banda daba Modi khaibu 😂,positive,bada banda daba modi khaibu
Kl finally bunty aa raha haiii 😭💃💃💃,negative,finally bunty raha haiii 😭💃💃💃
🖤🖤,neutral,
কে কে এখানে BTS army 💜💜💜,positive,এখানে bts army 💜💜💜
Nothing phone 3 or Motorola Edge 60 Pro? Konsa Lena Chahiye,neutral,nothing phone motorola edge pro konsa lena chahiye
"BJP ക്ക് വോട്ടുചെയ്യുകയാണ് മലയാളികൾക്ക് നല്ലത്. CPM നെയും കോൺഗ്രസിനെയും ജിഹാദികൾ ഹൈജാക്ക് ചെയ്‌തു, ഇസ്ലാമിക രാജ്യമുണ്ടാക്കാനുള്ള പ്രവർത്തനമാണ് ഇപ്പോൾ നടക്കുന്നത് .🌹🚀🌹",neutral,bjp ക്ക് വോട്ടുചെയ്യുകയാണ് മലയാളികൾക്ക് നല്ലത് cpm നെയും കോൺഗ്രസിനെയും ജിഹാദികൾ ഹൈജാക്ക് ചെയ്‌തു ഇസ്ലാമിക രാജ്യമുണ്ടാക്കാനുള്ള പ്രവർത്തനമാണ് ഇപ്പോൾ നടക്കുന്നത് 🌹🚀🌹
8 ते 10 कचरा कालाकार एकत्र करून जमवलेली जत्रा म्हणजे हास्य जत्रा,neutral,कचरा कालाकार एकत्र करून जमवलेली जत्रा म्हणजे हास्य जत्रा
"Iran nu peyar sonnalye lighta bayama irukku, enna na indiala irukke.",neutral,iran peyar sonnalye lighta bayama irukku enna indiala irukke
My favourite hiroine ❤,positive,favourite hiroine
Team' bulletin we proud of you,positive,team bulletin proud
ಬೆರಳು ಕೊಟ್ರೆ ಅಸ್ಥವನ್ನೆ ನುಂಗುವವರೆ ಈ ಮುಸ್ಲಿಮರು.......,neutral,ಬೆರಳು ಕೊಟ್ರೆ ಅಸ್ಥವನ್ನೆ ನುಂಗುವವರೆ ಮುಸ್ಲಿಮರು
Super. Hita suleru sayali bidi,positive,super hita suleru sayali bidi
Cutipie ❤️❤️❤️❤️,neutral,cutipie ❤️❤️❤️❤️
সেই গলপেটা ❤❤❤❤,positive,সেই গলপেটা ❤❤❤❤
Navin season ekdam bhangar kelay ......kahich comedy nahi. Fakt kuthale tari skit jara thik aahet. Baki kahi mahi,positive,navin season ekdam bhangar kelay kahich comedy nahi fakt kuthale tari skit jara thik aahet baki kahi mahi
"Jehva purshach lagn hot tehva hach ek mota tension asta..aai ki bayko....pn asa aslch nahi pahije .ekmeni samjun rahil pahije mich ka nahi as vatl nahi pahije. 
 Aata rahil ya script ch Q tr mala vatt tuhmi jr aaich imp detana dakhavl pahije hot ..mnje baykone sota bolale pahije majya adhi aaila imp dya.",neutral,jehva purshach lagn hot tehva hach mota tension astaaai baykopn asa aslch nahi pahije ekmeni samjun rahil pahije mich nahi vatl nahi pahije aata rahil script mala vatt tuhmi aaich imp detana dakhavl pahije hot mnje baykone sota bolale pahije majya adhi aaila imp dya
Talk about muslim in India or you can’t see…!!! !?,neutral,talk muslim india see…
Ur in Splitsvilla,neutral,splitsvilla
Justice for Atul Subhash,positive,justice atul subhash
ମାଲିକ ଗାଣ୍ଡି ଗଲୁ ହଉଚି ଟଙ୍କା କଣ ପାଇଁ ଦଉଚ କଣ ପାଇଁ ମାଗୁଛ ତମ ଠୁ ମାଲିକ ଭିକାରି ଭଳି ନାହିଁ,neutral,ମାଲିକ ଗାଣ୍ଡି ଗଲୁ ହଉଚି ଟଙ୍କା ପାଇଁ ଦଉଚ ପାଇଁ ମାଗୁଛ ମାଲିକ ଭିକାରି ଭଳି ନାହିଁ
Jaisa baap waisa beta,neutral,jaisa baap waisa beta
পুলিশ নীরপখ না হলে আরো খটবে,neutral,পুলিশ নীরপখ হলে আরো খটবে
ಅಣ್ಣ ನಮ್ಮ ಕರ್ನಾಟಕದಲ್ಲಿ ಆದ ಯಾವುದಾದ್ರೂ ಕೇಸ್ ನಾ ವಿಡಿಯೋ ಮಾಡಿ,neutral,ಅಣ್ಣ ನಮ್ಮ ಕರ್ನಾಟಕದಲ್ಲಿ ಯಾವುದಾದ್ರೂ ಕೇಸ್ ವಿಡಿಯೋ ಮಾಡಿ
Always CS❤,positive,always cs❤
இப்பதான் வயிறு ஃபுல்லா சாப்பிட்டேன் ஆனா இந்த வீடியோ பார்த்தா அப்புறம் மறுபடியும் சாப்பிட தோணுது😂😂😂😂😂😂😂😂😂🎉,positive,இப்பதான் வயிறு ஃபுல்லா சாப்பிட்டேன் ஆனா இந்த வீடியோ பார்த்தா அப்புறம் மறுபடியும் சாப்பிட தோணுது😂😂😂😂😂😂😂😂😂🎉
ಎಷ್ಟೋ ಜನಕ್ಕೆ ಸೆಕ್ಸ ಹೇಗೆ ಮಾಡಬೇಕು ಅಂತನೆ ಗೊತ್ತಿಲ್ಲ 😐😐😐😐😐,neutral,ಎಷ್ಟೋ ಜನಕ್ಕೆ ಸೆಕ್ಸ ಹೇಗೆ ಮಾಡಬೇಕು ಅಂತನೆ ಗೊತ್ತಿಲ್ಲ 😐😐😐😐😐
Kaveri river thalakaveri yalli huttuthe thalakadalii alla.nice video,neutral,kaveri river thalakaveri yalli huttuthe thalakadalii allanice video
🙏🙏🙏👍,neutral,🙏🙏🙏👍
Only legends know the whole episode and every dialogue copied from Sarabhai vs Sarabhai,negative,legend know whole episode every dialogue copied sarabhai sarabhai
Kon 2025 me dekh rha hai😂,positive,kon dekh rha hai😂
I choose moto edge 60 pro,neutral,choose moto edge pro
Good information sir.,positive,good information sir
"Jay shree ram,Har Mahadev har har Modi Ghar Ghar Modi 🙏🙏🙏🚩🚩🚩🚩🚩🚩
 Aab ki baar Modi Sarkar 400 Paar",neutral,jay shree ramhar mahadev har har modi ghar ghar modi 🙏🙏🙏🚩🚩🚩🚩🚩🚩 aab baar modi sarkar paar
அய்யனாரு.. எங்க அப்பத்தா மாதிரி மசாலா அரைகக்கிற.. சூப்பர்..👍👏,neutral,அய்யனாரு எங்க அப்பத்தா மாதிரி மசாலா அரைகக்கிற சூப்பர்👍👏
Rights,neutral,right
❤❤❤❤god,positive,❤❤❤❤god
India me kab lonch hota,neutral,india kab lonch hota
Chor Sala,neutral,chor sala
கந்து வட்டி பாஜாக காரனுக்கு அவனுக்கு புரியும் மொழியில் சொன்னால் தான் கேட் பான்,neutral,கந்து வட்டி பாஜாக காரனுக்கு அவனுக்கு புரியும் மொழியில் சொன்னால் தான் கேட் பான்
Swiggy ഉടായിപ്പു ആണു,neutral,swiggy ഉടായിപ്പു ആണു
"Good information,,prakash sir ಇಗ ,ನಿಮ್ಮ ,,ಆರೋಗ್ಯ ನಿಮ್ಮ ಗಂಟಲು ಕುಡ ಸರಿಯಾಗಿದೆ ❤",positive,good informationprakash sir ನಿಮ್ಮ ಆರೋಗ್ಯ ನಿಮ್ಮ ಗಂಟಲು ಕುಡ ಸರಿಯಾಗಿದೆ
ഊ പ്പി യാണ്,neutral,പ്പി യാണ്
Jacklin 😀😃👍👊✌,positive,jacklin 😀😃👍👊✌
"If you too feel their home should not be destroyed, share this video",neutral,feel home destroyed share video
Justice for Jesha,positive,justice jesha
Jai jagannath 🙏🙏🙏🙏🙏❤❤❤❤,positive,jai jagannath 🙏🙏🙏🙏🙏❤❤❤❤
Awesome ho aap b b vines. I like your mother. God is always with you. Best of luck. I like all of your videos.,positive,awesome aap vine like mother god always best luck like video
Ap ki kya bt hai mai ap k khany dekh kr heran hon Kash kha skty ap k sath😊❤,positive,kya hai mai khany dekh heran hon kash kha skty sath😊❤
Congratulation to team India,positive,congratulation team india
ಮೇಡಂ ನೋರ್ ಮಾತ್ರ ಸೂಪರ್. ❤️🥰😍 ಗಿರಿಜಾ ಮೇಡಂ ❤️,positive,ಮೇಡಂ ನೋರ್ ಮಾತ್ರ ಸೂಪರ್ ❤️🥰😍 ಗಿರಿಜಾ ಮೇಡಂ
ଶ୍ରୀ ବଲ୍ଲଭ ସାହୁ ଗୋଟେ 17ନମ୍ୱର ଝିଅ ଗିହ୍ୟl,neutral,ଶ୍ରୀ ବଲ୍ଲଭ ସାହୁ ଗୋଟେ ନମ୍ୱର ଝିଅ ଗିହ୍ୟl
"Please bhavin, sameeksha,or vishal tum teeno sath me video banaya karo na please we miss very much teentigda",positive,please bhavin sameekshaor vishal tum teeno sath video banaya karo please miss much teentigda
13.30😂😂😂😂😂,positive,😂😂😂😂😂
DON'T BUY SAMSUNG MOBILE @Samsung is a fraud company. Green line problem occurs in this mobile after software update. Samsung company is running away from its responsibility. You may not believe it but after a year you will experience what I am talking about when you face,negative,dont buy samsung mobile samsung fraud company green line problem occurs mobile software update samsung company running away responsibility may believe year experience talking face
"నేను ఓ రెడ్డి హిందువుని. ప్రస్తుత పరిస్థితులు చూసుకుంటే, మా రెడ్డి సమాజంలోను, ఇతర హిందూ సమాజాల్లోను మత మార్పిడులు జరుగుతున్నాయి. మన సంస్కృతి, సంప్రదాయాలు క్రమంగా కనుమరుగవుతున్నాయి. అందుకే నేను పవన్ అన్నకి హిందూ ధర్మం కోసం సంపూర్ణ మద్దతు ఇస్తున్నాను 🚩🚩🚩",neutral,నేను రెడ్డి హిందువుని ప్రస్తుత పరిస్థితులు చూసుకుంటే రెడ్డి సమాజంలోను ఇతర హిందూ సమాజాల్లోను మార్పిడులు జరుగుతున్నాయి సంస్కృతి సంప్రదాయాలు క్రమంగా కనుమరుగవుతున్నాయి అందుకే నేను పవన్ అన్నకి హిందూ ధర్మం కోసం సంపూర్ణ మద్దతు ఇస్తున్నాను 🚩🚩🚩
"ಆರ್ ಸಿ ಬೀ ಗೆಲುವಿನ ಬಗ್ಗೆ ತುಂಬಾ ಸುಂದರವಾಗಿ ಹೇಳಿದ್ರಿ 
 
 🙏ಧನ್ಯವಾದಗಳು🙏",neutral,ಆರ್ ಗೆಲುವಿನ ಬಗ್ಗೆ ತುಂಬಾ ಸುಂದರವಾಗಿ ಹೇಳಿದ್ರಿ 🙏ಧನ್ಯವಾದಗಳು🙏
"Sir, where can I find that article..?",neutral,sir find article
"sach mein yaar...woh ladka yaad aa gaya jo bolta tha .""mein garib hu ""..😂",positive,sach mein yaarwoh ladka yaad gaya bolta tha mein garib
We want 2nd ep,neutral,want
Darun 😂🎉🎉,positive,darun 😂🎉🎉
ଜୟ ଜଗନ୍ନାଥ 🙏ଶୀତ ବଡ଼ୁଛି ସମସ୍ତେ ଜାଗ୍ରତ ରୁହ ଜାଗ୍ରତ ହେଲେ କୌଣସି ବିପଦ ଆସିବ ନାହିଁ. 🙏ହରେକୃଷ୍ଣ 🙏ରାଧେ ରାଧେ 🙏🕉️🙏,neutral,ଜଗନ୍ନାଥ 🙏ଶୀତ ବଡ଼ୁଛି ସମସ୍ତେ ଜାଗ୍ରତ ରୁହ ଜାଗ୍ରତ ହେଲେ କୌଣସି ବିପଦ ଆସିବ ନାହିଁ 🙏ହରେକୃଷ୍ଣ 🙏ରାଧେ ରାଧେ 🙏🕉️🙏
ALLAH hu Akbar,neutral,allah akbar
Didi perfect😊,positive,didi perfect😊
"আচ্ছা, আপনারা এরকম জীবন্ত এনিমেশন কার্টুন কিভাবে বানান?
 আমাকেও যদি একটু শিখিয়ে দিতেন, তবে আমার খুব উপকার হতো",neutral,আচ্ছা আপনারা এরকম জীবন্ত এনিমেশন কার্টুন কিভাবে বানান আমাকেও যদি একটু শিখিয়ে দিতেন তবে আমার খুব উপকার হতো
Soo cute ❤️,positive,soo cute
Tusalachro,neutral,tusalachro
Bhavin bhaiya ❤ miss you,positive,bhavin bhaiya miss
Dada apnar sathe ki kono bisoye kotha bola jabe,neutral,dada apnar sathe kono bisoye kotha bola jabe
Kadkkk rap 🤞😈🤟,positive,kadkkk rap 🤞😈🤟
Still no battery 🔋,neutral,still battery
"Joss, Gawin, Mon, all three have their own beauty and aura, Neo too but he sometimes seems a bit lost 😅 He makes me laugh! Mond is a great actor too, I hope he gets his moment of glory in a series one day. ❤",positive,joss gawin mon three beauty aura neo sometimes seems bit lost make laugh mond great actor hope get moment glory series one day
"Super, good Information ❤👌",positive,super good information
Aaya aludhathu manasu kastama aayiduchi🥹🥹🥹🙏🙏🙏,neutral,aaya aludhathu manasu kastama aayiduchi🥹🥹🥹🙏🙏🙏
Expressions king👑🥰😘,positive,expression king👑🥰😘
Har Har Mahadev 🙏,neutral,har har mahadev
இந்த நாய்ங்க பேண்டா தொருவே நாரும் . குசு விட்டா எட்டு உருக்கு நாரும் . இந்த தோவிடிய நாய்ங்களுக்குள்ள என்ன போட்டி,neutral,இந்த நாய்ங்க பேண்டா தொருவே நாரும் குசு விட்டா எட்டு உருக்கு நாரும் இந்த தோவிடிய நாய்ங்களுக்குள்ள என்ன போட்டி
😡😡😡😡🤬🤬🤬🤬😡😡😡😡😡🤬🤬🤬😡🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮👿👿👿👿👿😡😡😡😡😡,negative,😡😡😡😡🤬🤬🤬🤬😡😡😡😡😡🤬🤬🤬😡🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮👿👿👿👿👿😡😡😡😡😡
സൂപ്പർ മുറിലി സർ ഹമസി മാധ്യമം ഗബക്ക,neutral,സൂപ്പർ മുറിലി ഹമസി മാധ്യമം ഗബക്ക
"I am very happy that you make such videos, but these will not make any difference to the people, so maybe according to me you should do something bigger and you have my full support, please save the future of this country in every field of politics and education and make one more video about the reality of the education system of our India",positive,happy make video make difference people maybe according something bigger full support please save future country every field politics education make one video reality education system india
Aap log Kitna rupya barbad karte ho kitna khana banate ho kitna masale Kitna chicken Kitna mutton apna banate Ho blouse mein,neutral,aap log kitna rupya barbad karte kitna khana banate kitna masale kitna chicken kitna mutton apna banate blouse mein
🎉🎉🎉🎉🎉🎉🎉😢😮😅😂😊❤❤,positive,🎉🎉🎉🎉🎉🎉🎉😢😮😅😂😊❤❤
Sir agar sameer sa ko fa bolta hai toh sameer kaise bolta hai wese toh fameer bolna chahiye....,neutral,sir agar sameer bolta hai toh sameer kaise bolta hai wese toh fameer bolna chahiye
❤❤❤❤🙏,positive,❤❤❤❤🙏
"ଶୀଘ୍ର Dissmis କର Deo ବାବୁ , ଦେଖୁଛ ତୁମ ମାଷ୍ଟର କୁ କଣ କରୁଛି ସଲା ଚୋରା ।",neutral,ଶୀଘ୍ର dissmis deo ବାବୁ ଦେଖୁଛ ତୁମ ମାଷ୍ଟର କରୁଛି ସଲା ଚୋରା
🙏🥰💯,positive,🙏🥰💯
#Bologuruji namate guruji mai ek student hu mera budget 25000 hai konsa phone best rahega. main use mera camera hai please pick this question 😢,positive,bologuruji namate guruji mai student mera budget hai konsa phone best rahega main use mera camera hai please pick question
गाथा नवनाथाची भाग 1149 1150 विभागाच्या आता दाखवा ताबडतोब लवकरात लवकर भाग दाखवा,neutral,गाथा नवनाथाची भाग विभागाच्या आता दाखवा ताबडतोब लवकरात लवकर भाग दाखवा
Good morning sir ❤❤🎉🎉❤❤,positive,good morning sir ❤❤🎉🎉❤❤
Mo mana re nuha mu nije Jigyasa 😂😂😅😅😜❤️❤️☺️☺️,positive,mana nuha nije jigyasa 😂😂😅😅😜❤️❤️☺️☺️
കേരളത്തിലെ ജനങ്ങൾ കണ്ടു പഠിക്കു. ഇത് പോലെ കേരത്തിലും വേണം,neutral,കേരളത്തിലെ ജനങ്ങൾ കണ്ടു പഠിക്കു ഇത് പോലെ കേരത്തിലും വേണം
Kapu pokhu,neutral,kapu pokhu
hai❤❤❤,positive,hai❤❤❤
SUBARAগেম,neutral,subaraগেম
Do you REALLY think a mobile OTP can unlock EVMs?,neutral,really think mobile otp unlock evms
Bunty episode agle janam mein dekhne ko milega 😒??,neutral,bunty episode agle janam mein dekhne milega
டேய் ஏன்டா மதம் குடின்னு வெறி பிடுச்சு வாழ்க்கையை நாசமாக்கிறீங்க. ஒழுங்கா குடும்பத்தை பாருங்கள்,neutral,டேய் ஏன்டா மதம் குடின்னு வெறி பிடுச்சு வாழ்க்கையை நாசமாக்கிறீங்க ஒழுங்கா குடும்பத்தை பாருங்கள்
Pagola hati tiye,neutral,pagola hati tiye
💕💕,neutral,
ye sponser video h na sir,neutral,sponser video sir
Anyone August. 2024. 4 . ❤,positive,anyone august
Bangluru crush Goa in Isl semifinal first leg,neutral,bangluru crush goa isl semifinal first leg
ହଁ ରିପୋର୍ଟର କୁ ଖାଲି ମାରୁଚି 😂 camera man କୁ ମାରୁନୀ 😅 ଶଳା ସବୁ ଅଭିନୟ 😅 ଯାହା video କହୁଚି😊,positive,ରିପୋର୍ଟର ଖାଲି ମାରୁଚି camera man ମାରୁନୀ ଶଳା ସବୁ ଅଭିନୟ ଯାହା video କହୁଚି😊
अफलातून कॉमेडी 😂😂😂😂😂,positive,अफलातून कॉमेडी 😂😂😂😂😂
Cameraman bhai ine bhaiyon ko bolo Hindi mein baat Karen mujhe inki Bhasha samajh nahin aati Joy recipe banate hain use kaise samajh paoge❤,positive,cameraman bhai ine bhaiyon bolo hindi mein baat karen mujhe inki bhasha samajh nahin aati joy recipe banate hain use kaise samajh paoge❤
Terrorism has a religion known as Islam 😡🤬 proved in Pahalgam.. abb kiyo shant ho bhai jaan. Aab kiyo nahi banate essi video...,negative,terrorism religion known islam proved pahalgam abb kiyo shant bhai jaan aab kiyo nahi banate essi video
Sharabi ho gyi ❤,positive,sharabi gyi
👍🇮🇱👍🇮🇱🙏🇮🇱👍🇮🇱👍,neutral,👍🇮🇱👍🇮🇱🙏🇮🇱👍🇮🇱👍
Aki Avan nijavad tayi alla ri,neutral,aki avan nijavad tayi alla
